姓名,國文,英文,數學
林志喜,61,62,73
黃雅慧,51,90,69
林柏洋,100,53,89
黃柏宇,94,67,81
賴佳雯,99,64,95
陳筱涵,81,72,62
余宗儒,65,70,76
楊少亮,73,81,99
柯宜臻,59,80,99
張俊傑,76,57,75
沈心利,93,59,69
王雅琴,64,100,90
孫火清,98,65,74
張牧聿,73,93,65
鄧淑娟,78,97,73
陳信宏,54,85,56
謝南慧,84,69,60
李美洋,89,54,52
馮耀中,80,74,81
盧文啟,58,87,76
吳昕婷,65,60,91
蔡世馨,68,62,59
胡淑貞,80,95,79
陳建香,80,77,100
鍾俞禎,96,58,53
劉昀天,55,82,87
溫法堯,75,82,81
張嘉韋,67,97,59
黃彥孝,85,75,83
劉林中,54,91,69
王梅劭,78,68,86
劉嘉泰,56,94,57
葉祖雄,59,57,56
黃善迪,63,96,69
洪奎夫,68,99,51
朱惠儀,97,65,63
林佳人,67,62,56
景歡燦,70,59,82
王士銘,62,84,53
吳麗卿,73,55,75
陳淑娟,92,58,98
林玉佩,85,88,99
陳怡伶,79,69,85
王人仰,91,53,94
李政成,78,55,64
羅幸娥,87,57,79
郭舜昇,53,76,99
李進慧,75,58,77
柯韋成,73,56,66
周怡啟,83,89,92
